SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE_x,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT_x,AMT_ANNUITY_x,AMT_GOODS_PRICE_x,NAME_TYPE_SUITE_x,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OCCUPATION_TYPE,CNT_FAM_MEMBERS,ORGANIZATION_TYPE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR,SK_ID_PREV,NAME_CONTRACT_TYPE_y,AMT_ANNUITY_y,AMT_APPLICATION,AMT_CREDIT_y,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE_y,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE_y,NAME_CLIENT_TYPE,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
100007,0,Cash loans,M,N,Y,0,121500.0,513000.0,21865.5,513000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,19932,3038,4311,3458,Core staff,1.0,Religion,0.0,0.0,0.0,0.0,1106.0,0.0,0.0,0.0,0.0,0.0,0.0,2001242,Cash loans,16509.6,180000.0,180000.0,,180000.0,,,,XNA,Approved,865,Cash through the bank,XAP,Unaccompanied,Repeater,Cash,walk-in,Regional / Local,1200,Consumer electronics,18.0,high,Cash Street: high,365243.0,-834.0,-324.0,-354.0,-347.0,0.0
100009,0,Cash loans,F,Y,Y,1,171000.0,1560726.0,41301.0,1395000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.035792,13778,3130,1213,619,Accountants,3.0,Business Entity Type 3,1.0,0.0,1.0,0.0,1562.0,0.0,0.0,0.0,1.0,1.0,2.0,1413109,Consumer loans,8996.76,98239.5,98239.5,0.0,98239.5,0.0,,,XAP,Approved,449,Cash through the bank,XAP,,Repeater,POS,XNA,Regional / Local,164,Consumer electronics,12.0,low_action,POS household without interest,365243.0,-418.0,-88.0,-88.0,-84.0,0.0
100012,0,Revolving loans,M,N,Y,0,135000.0,405000.0,20250.0,405000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.019689,14469,2019,14437,3992,Laborers,1.0,Electricity,2.0,0.0,2.0,0.0,1673.0,0.0,0.0,0.0,0.0,0.0,1.0,2243829,Consumer loans,3012.075,18720.0,23697.0,0.0,18720.0,0.0,,,XAP,Approved,1673,XNA,XAP,Family,New,POS,XNA,Country-wide,42,Connectivity,12.0,high,POS mobile with interest,365243.0,-1641.0,-1311.0,-1401.0,-1397.0,0.0
100026,0,Cash loans,F,N,N,1,450000.0,497520.0,32521.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,Rented apartment,0.020713,11146,4306,114,2518,Sales staff,3.0,Self-employed,0.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,5.0,1252218,Consumer loans,23608.485,132345.0,132345.0,0.0,132345.0,0.0,,,XAP,Approved,1427,Cash through the bank,XAP,"Spouse, partner",New,POS,XNA,Country-wide,200,Consumer electronics,6.0,low_normal,POS household without interest,365243.0,-1396.0,-1246.0,-1246.0,-1243.0,0.0
100027,0,Cash loans,F,N,Y,0,83250.0,239850.0,23850.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.006296,24827,365243,9012,3684,Laborers,2.0,XNA,0.0,0.0,0.0,0.0,795.0,0.0,0.0,0.0,0.0,0.0,3.0,2531618,Cash loans,22556.475,225000.0,239850.0,,225000.0,,,,XNA,Refused,181,Cash through the bank,HC,Unaccompanied,Repeater,Cash,x-sell,AP+ (Cash loan),5,XNA,12.0,low_normal,Cash X-Sell: low,,,,,,
100035,0,Cash loans,F,N,Y,0,292500.0,665892.0,24592.5,477000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,15280,2668,5266,3787,Laborers,2.0,Business Entity Type 3,0.0,0.0,0.0,0.0,1634.0,0.0,0.0,0.0,1.0,0.0,5.0,1339797,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Refused,138,XNA,HC,,Repeater,XNA,XNA,Credit and cash offices,0,XNA,16.0,XNA,Cash,,,,,,
100043,0,Cash loans,F,N,Y,2,198000.0,641173.5,23157.0,553500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.01885,17199,768,63,735,Private service staff,4.0,Other,0.0,0.0,0.0,0.0,2411.0,0.0,0.0,0.0,0.0,1.0,1.0,1185699,Consumer loans,5287.815,35775.0,33340.5,4500.0,35775.0,0.129514914,,,XAP,Approved,2411,Cash through the bank,XAP,Family,New,POS,XNA,Country-wide,44,Connectivity,8.0,low_normal,POS mobile with interest,365243.0,-2380.0,-2170.0,-2170.0,-2167.0,1.0
100062,0,Cash loans,M,Y,N,0,81000.0,675000.0,32472.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.010006,18611,365243,6936,2142,Laborers,2.0,XNA,0.0,0.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.0,2.0,1629558,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Refused,295,XNA,HC,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
100072,0,Cash loans,M,N,N,0,180000.0,1080000.0,44118.0,1080000.0,Unaccompanied,Working,Incomplete higher,Single / not married,With parents,0.010006,7907,1324,4557,586,Sales staff,1.0,Trade: type 2,0.0,0.0,0.0,0.0,725.0,0.0,0.0,0.0,0.0,0.0,4.0,1476081,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Canceled,124,XNA,XAP,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
100077,0,Cash loans,M,N,Y,0,180000.0,1256400.0,40657.5,900000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.072508,12049,579,6105,1,Core staff,1.0,Police,4.0,0.0,4.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,8.0,2670402,Cash loans,11250.0,0.0,0.0,,11232.0,,,,XNA,Refused,217,XNA,HC,,Repeater,XNA,XNA,Credit and cash offices,-1,XNA,16.0,XNA,Cash,,,,,,
